"ZIPCODE","MONTH","YEAR","CUSTOMERCLASS","COMBINED","TOTALCUSTOMERS","TOTALTHM","AVERAGETHM"
"95064",2,2019,"Gas- Commercial","Y",0,0,NA
"95065",1,2019,"Gas- Commercial","Y",0,0,NA
"95065",3,2019,"Gas- Commercial","Y",0,0,NA
"95066",2,2019,"Gas- Commercial","Y",548,237185,433
"95070",1,2019,"Gas- Commercial","Y",0,0,NA
"95070",3,2019,"Gas- Commercial","Y",0,0,NA
"95073",2,2019,"Gas- Commercial","Y",0,0,NA
"95076",1,2019,"Gas- Commercial","Y",1021,473935,464
"95076",3,2019,"Gas- Commercial","Y",1022,406849,398
"95110",2,2019,"Gas- Commercial","Y",566,638952,1129
"95111",1,2019,"Gas- Commercial","N",306,148507,485
