"ZIPCODE","MONTH","YEAR","CUSTOMERCLASS","COMBINED","TOTALCUSTOMERS","TOTALKWH","AVERAGEKWH"
"94531",1,2019,"Elec- Commercial","N",364,3791311,10416
"94531",3,2019,"Elec- Commercial","N",372,3442269,9253
"94533",2,2019,"Elec- Commercial","Y",1602,12339388,7702
"94534",1,2019,"Elec- Commercial","N",657,6837653,10407
"94534",3,2019,"Elec- Commercial","N",661,6302973,9536
"94535",2,2019,"Elec- Commercial","Y",0,0,NA
"94536",1,2019,"Elec- Commercial","N",861,4530566,5262
"94536",3,2019,"Elec- Commercial","N",862,4396225,5100
"94538",2,2019,"Elec- Commercial","N",2704,35564325,13152
"94539",1,2019,"Elec- Commercial","Y",1197,12177664,10173
"94539",3,2019,"Elec- Commercial","Y",1204,11947354,9923
"94541",2,2019,"Elec- Commercial","N",1220,5699295,4672
"94542",1,2019,"Elec- Commercial","Y",0,0,NA
"94542",3,2019,"Elec- Commercial","Y",0,0,NA
"94544",2,2019,"Elec- Commercial","Y",2674,30056924,11240
"94545",1,2019,"Elec- Commercial","N",2189,25086858,11460
"94545",3,2019,"Elec- Commercial","N",2194,23352830,10644
"94546",2,2019,"Elec- Commercial","N",773,3252682,4208
"94547",1,2019,"Elec- Commercial","Y",0,0,NA
"94547",3,2019,"Elec- Commercial","Y",0,0,NA
"94548",2,2019,"Elec- Commercial","Y",0,0,NA
"94549",1,2019,"Elec- Commercial","Y",0,0,NA
"94549",3,2019,"Elec- Commercial","Y",1758,10110084,5751
"94550",2,2019,"Elec- Commercial","N",1319,9327130,7071
"94551",1,2019,"Elec- Commercial","Y",1661,16032412,9652
"94551",3,2019,"Elec- Commercial","Y",1658,15098301,9106
"94552",2,2019,"Elec- Commercial","Y",0,0,NA
"94553",1,2019,"Elec- Commercial","Y",2375,16503953,6949
"94553",3,2019,"Elec- Commercial","Y",2249,16433249,7307
"94555",2,2019,"Elec- Commercial","Y",0,0,NA
"94556",1,2019,"Elec- Commercial","N",228,1341562,5884
"94556",3,2019,"Elec- Commercial","N",226,1111510,4918
"94558",2,2019,"Elec- Commercial","Y",1968,15038202,7641
"94559",1,2019,"Elec- Commercial","N",1104,6926638,6274
"94559",3,2019,"Elec- Commercial","N",1101,6644930,6035
"94560",2,2019,"Elec- Commercial","Y",1353,18742377,13852
"94561",1,2019,"Elec- Commercial","Y",439,2732050,6223
"94561",3,2019,"Elec- Commercial","Y",440,2191811,4981
"94563",2,2019,"Elec- Commercial","N",330,1646879,4991
"94564",1,2019,"Elec- Commercial","Y",668,6156521,9216
"94564",3,2019,"Elec- Commercial","Y",789,6286200,7967
"94565",2,2019,"Elec- Commercial","N",1136,9356706,8237
"94566",1,2019,"Elec- Commercial","N",1273,7084408,5565
"94566",3,2019,"Elec- Commercial","N",1278,6644836,5199
"94567",2,2019,"Elec- Commercial","Y",0,0,NA
"94568",1,2019,"Elec- Commercial","Y",3089,31706250,10264
"94568",3,2019,"Elec- Commercial","Y",3100,29668258,9570
"94569",2,2019,"Elec- Commercial","Y",0,0,NA
"94571",1,2019,"Elec- Commercial","Y",448,1985110,4431
"94571",3,2019,"Elec- Commercial","Y",450,1903841,4231
"94572",2,2019,"Elec- Commercial","Y",0,0,NA
"94574",1,2019,"Elec- Commercial","N",666,5544585,8325
"94574",3,2019,"Elec- Commercial","N",659,4818096,7311
